values,Centroid_Longitude,Centroid_Latitude,km,mpa_id,oceanmpa.trend_mean.8.5N
-0.936999798,-146.4269652,60.50488079,4.435307728,7537,0.032041974
-0.896000385,-146.1489793,60.51682142,3.057654444,2395,0.032041974
-0.460000515,-146.1220134,60.3802278,0.604700335,2493,0.032041974
0.729000568,-144.8690052,60.32879244,4.142052077,4224,0.031984713
0.89799881,-144.6,-15.69511021,3.05375359,6747,0.029221037
0.942998886,-144.57,-15.70000014,3.171261814,5858,0.029221037
-0.138999939,-144.4656119,59.90069116,2.88608753,1933,0.03148818
1.278000042,-139.8491753,69.10574824,48.52375896,2607,0.060604747
-0.421999931,-139.7263708,59.73434822,3.064994689,7536,0.031505112
-0.421999931,-139.7263708,59.73434822,3.064994689,7558,0.031505112
-1.417999744,-139.0458557,58.25093331,4.535298209,8548,0.031184752
1.078998566,-138.83299,-9.983000144,5.291508138,5944,0.033463683
0.43200016,-137.8075354,56.18581575,2.688761218,8551,0.031169675
-0.427000046,-137.4898726,58.52232511,2.823796677,150,0.031148344
2.275000095,-136.8382138,58.79747149,8.876226772,8710,0.031117516
0.598999977,-136.1069208,58.53877355,1.097299334,7532,0.031117516
1.228999138,-135.9765636,53.4029761,3.338004129,5745,0.032293078
-0.479000092,-135.9249999,56.9375,3.074159968,4507,0.031166481
-0.479000092,-135.9249599,56.93755856,3.070854813,8542,0.031166481
-0.479000092,-135.9249599,56.93755856,3.070854813,7542,0.031166481
0.763000011,-135.583629,57.146284,3.440414082,5222,0.031034118
1.433000088,-135.5737116,57.16766351,4.916592779,5306,0.031034118
2.549000263,-135.5630275,57.43203791,3.190419245,5208,0.031034118
-0.725999832,-135.4996767,57.0597645,3.209941838,7533,0.031034118
-0.020000458,-135.3153684,57.04701157,1.552148327,8726,0.031034118
0.066999912,-135.3074057,58.91529174,4.571180491,1940,0.031079961
0.375,-135.2678967,59.04665701,1.468777263,2393,0.031342033
0.82099998,-135.1867017,69.36951081,1.043966839,1125,0.058743905
1.258000374,-135.1826605,58.60811004,2.394792371,5308,0.031079961
0.625000477,-135.1629924,58.62141113,2.23526448,2586,0.031079961
0.799000263,-134.9783679,58.65799373,3.848142339,5307,0.031037556
0.601000309,-134.9253085,58.24600669,4.614455158,5216,0.031037556
0.693999767,-134.8924613,58.45836452,1.015594049,2392,0.031037556
0.693999767,-134.8547057,58.44662983,1.756728279,5309,0.031037556
1.807999611,-134.5594585,58.34917944,3.052247567,4059,0.031037556
2.441999912,-134.3292136,56.84964143,3.627067475,5235,0.031164333
1.547999859,-134.3126962,58.10152245,2.887427327,1939,0.031037556
0.980000019,-134.2750004,57.90514165,3.494020966,4222,0.031012248
1.34100008,-134.0180416,58.05511172,2.042068104,5237,0.031037556
1.31799984,-133.6961192,56.22872857,2.390926693,7534,0.03116107
1.523999691,-133.6349962,56.34730254,3.140104241,2494,0.03116107
2.63599968,-133.0503208,56.59237825,3.665168863,5207,0.03116107
2.340000153,-132.8732764,53.58330697,4.636812398,1389,0.032492202
2.134000301,-132.1327854,56.17316691,3.939225675,5238,0.031155812
2.147999763,-131.86787,53.91225186,4.16913206,425,0.032555137
1.562999725,-131.8482817,54.05563884,2.336355891,1388,0.031983323
0.370999336,-131.7968002,55.14877761,2.664633178,7535,0.031506546
0.197000504,-131.7489808,55.15585598,4.295290616,5210,0.031506546
1.305999756,-131.5203582,52.24099698,3.911934237,5435,0.033204917
1.881999969,-130.8799857,54.55608974,1.636294715,5722,0.032008562
1.433000565,-130.7009461,54.1413505,1.881366755,5733,0.032008562
1.603000641,-130.6221077,54.29424468,0.343255739,5686,0.032008562
1.914999962,-130.6084474,53.48317989,2.972742906,5681,0.032604475
3.505000114,-130.5765507,54.75591929,4.560730732,5737,0.032008562
1.934000015,-130.5577774,53.85303505,2.660429415,5682,0.032604475
3.19299984,-130.4542313,53.55632594,1.653061959,5704,0.032604475
1.946000099,-130.4447467,54.75871264,5.670084639,5687,0.032008562
2.144999504,-130.433775,54.80619742,4.099363211,5688,0.032008562
3.009999275,-130.3709794,54.58127143,4.412120842,5689,0.032008562
2.56499958,-130.3146871,54.17887352,3.601236439,2595,0.032008562
2.75399971,-130.2295227,54.62100421,4.025279181,5727,0.032008562
1.81099987,-130.1768741,54.01669703,3.453647425,5724,0.032008562
3.093999863,-130.1028149,54.66675939,4.83715823,5720,0.032008562
3.414000034,-130.0128087,54.60715133,2.718347714,5725,0.032008562
3.505000591,-129.9987845,54.49023492,4.406610334,5734,0.032018542
3.56899929,-129.9556326,54.09478807,6.23753164,5721,0.032018542
3.454000473,-129.916598,54.74982492,14.13739913,5726,0.032018542
3.5989995,-129.9013685,54.20576955,1.738129895,5731,0.032018542
1.972000122,-129.7651502,53.38704044,2.21085129,5708,0.032632153
5.283000469,-129.7404957,55.4000119,33.55111861,5728,0.03150567
3.454000473,-129.7251377,54.62549999,15.01177226,2604,0.032018542
3.38599968,-129.696367,53.67998542,7.021464861,2596,0.032632153
5.837999821,-129.6677139,55.23824047,31.23201092,5709,0.03150567
4.024999619,-129.5848606,53.55578739,3.082245154,2597,0.032632153
1.876999855,-129.5725097,52.97515096,2.786650318,1379,0.03333557
3.068000317,-129.4560991,53.34176864,3.697500262,5735,0.032632153
3.068000317,-129.4360073,53.41181177,4.353401882,2593,0.032632153
2.133999825,-129.4305352,53.07602823,4.249128717,5706,0.032632153
2.163999557,-129.4245456,53.63411058,8.820212854,5723,0.032632153
1.598999977,-129.416333,52.66036518,4.821366543,1381,0.03333557
1.687000275,-129.3665767,52.55400699,1.486330877,1376,0.03333557
2.163999557,-129.3584583,53.65081656,5.256643416,5738,0.032632153
1.763999939,-129.3497883,53.26550353,3.357079487,5707,0.032632153
2.081999779,-129.3284776,53.19967035,2.633779223,5729,0.032632153
2.223999977,-129.2779271,53.3165075,2.909784761,5736,0.032632153
2.012000084,-129.2112119,53.06155657,2.220631406,5703,0.032632153
